"logFC","logCPM","PValue","FDR","ID"
2.58297638572651,3.84400968486859,1.15290752983615e-19,3.48534226973555e-18,"3470"
2.58274479830925,4.22570896684725,8.91877558660474e-23,3.40690049319298e-21,"1165"
2.57060632894879,4.65880053183696,1.67521816498177e-25,7.83350169019184e-24,"14883"
2.56938293092657,2.45353981727663,8.18986033948654e-09,8.52977946575954e-08,"3269"
2.56484790408798,2.86425823761995,2.76616349433764e-12,4.29751341571195e-11,"16385"
2.55330672184602,3.41212188120807,3.36369992385673e-16,7.77830000662851e-15,"13494"
2.54747028023354,3.15905111648968,1.22033334048082e-14,2.42555964357759e-13,"11474"
2.54719709053221,3.01816471533258,1.75621962751971e-13,3.08720644707978e-12,"1120"
2.54126846708235,2.40044382157298,8.62247713090784e-09,8.95501796117535e-08,"6556"
2.53462581309113,2.55799733452038,1.35941724637346e-09,1.55660653934862e-08,"9295"
2.53085671400681,4.43310909894292,1.59303238616775e-23,6.40580039173575e-22,"13178"
2.53042936531366,4.54204234296002,2.49840442349481e-24,1.09543205496649e-22,"9030"
2.52871994069368,3.57925743567712,1.24617952972085e-17,3.232065351332e-16,"6313"
2.5286292101173,3.98621323738526,1.43226666726811e-20,4.6165675175017e-19,"9385"
2.52813799388705,3.66210776161502,3.72500781180759e-18,1.00596405842343e-16,"7925"
2.5229909836616,9.84792003917257,4.00271897662046e-38,4.04210743463508e-36,"13537"
2.52158410323124,3.30867402660707,1.9690418214342e-15,4.23600539856252e-14,"7015"
2.5172742552846,3.74929572295988,2.29109160005705e-18,6.25847108303353e-17,"10841"
2.50987227615589,5.3652907574473,1.20096976785458e-28,7.16994057947143e-27,"8122"
2.50681027586979,3.16014274486186,4.45334133060428e-14,8.37095892688339e-13,"1447"
2.50674423750046,4.18682526247025,1.29298766296501e-21,4.58829360399825e-20,"6184"
2.50406422643968,3.91069199464496,1.3888156569111e-19,4.17194070355336e-18,"4320"
2.49786428301026,7.73602573403878,1.44837559289306e-35,1.244226725388e-33,"12502"
2.49742514877708,4.9432130784872,1.889271415417e-26,9.59032562077317e-25,"6830"
2.49638329300901,3.1080596169808,8.81766055394823e-14,1.60347974728647e-12,"4909"
2.49008850870733,4.8422079849237,9.11274647638285e-26,4.42469288629485e-24,"8258"
2.48946107826605,2.85774670751722,1.43977560242596e-11,2.06139817587156e-10,"800"
2.48307891435214,3.22735279271426,1.27910540132689e-14,2.53220188156318e-13,"886"
2.47867004299766,8.15337478755028,9.36674755899828e-36,8.15723405539369e-34,"13589"
2.47542119722104,1.94272505987887,4.4995893908453e-05,0.000266868805327079,"3173"
2.47495684828857,3.64919768122719,1.88773487004888e-17,4.81055657823866e-16,"1675"
2.47367500267168,8.50901691672201,1.40410112364708e-36,1.25149576678121e-34,"5509"
2.46953980709758,2.51770888586564,5.03908159373802e-09,5.37454854253463e-08,"9352"
2.46941240100962,2.65469191208383,1.02528823650863e-09,1.18979811553279e-08,"7824"
2.46332411790897,2.8943388570034,4.11927836659254e-12,6.31190474493619e-11,"8525"
2.45687572208694,3.7751293612492,2.32520550674475e-18,6.34253254964785e-17,"12230"
2.44836357545386,2.32357892754463,1.06949428779023e-07,9.62747702878023e-07,"10346"
2.44623637436847,3.2449966003922,1.99658931912205e-14,3.8482485506124e-13,"7109"
2.44602270005166,3.13376491287231,1.27613017241654e-13,2.27486679092282e-12,"5277"
2.44533872154146,3.99682913659746,1.45932780279932e-19,4.36304540726694e-18,"7113"
2.44269984990764,4.16669931551149,7.6801669899426e-21,2.5357907878967e-19,"7508"
2.43723920678563,4.49647414025788,4.43449240300805e-23,1.72518111211286e-21,"7001"
2.43654693486284,5.16780917756309,9.24930303534056e-27,4.81090460619015e-25,"13139"
2.42151940333693,2.38495547270942,7.26117449583201e-08,6.68550007244078e-07,"4259"
2.41785350786724,2.30314750973865,1.95801683102111e-07,1.70518117141908e-06,"10440"
2.4058921133202,4.9259178339376,5.26602413052265e-25,2.36908692222683e-23,"8770"
2.39765019094736,2.91925623336368,6.7396408084884e-12,1.00829062844092e-10,"13072"
2.39737645402823,2.4993718063657,9.21702929894565e-09,9.51524204679082e-08,"10162"
2.39534124286733,6.56983607865323,2.97544529565314e-31,2.08445863239759e-29,"13260"
2.39495448359154,2.8079584820575,8.94184128579969e-11,1.17481561806856e-09,"5050"
